股票代码,股票简称,原始行业,映射行业,输出路径
000589,贵州轮胎,汽车零部件,汽车零部件,/home/peanut/stock_key_info/all_stocks_20260606/工业制造/汽车零部件/贵州轮胎.csv
000590,古汉医药,中药Ⅱ,中药,/home/peanut/stock_key_info/all_stocks_20260606/医药/中药/古汉医药.csv
000591,太阳能,电力,电力行业,/home/peanut/stock_key_info/all_stocks_20260606/电力行业/太阳能.csv
000592,平潭发展,林业Ⅱ,农牧饲渔,/home/peanut/stock_key_info/all_stocks_20260606/衣食住行/农牧饲渔/平潭发展.csv
000593,德龙汇能,燃气Ⅱ,燃气,/home/peanut/stock_key_info/all_stocks_20260606/能源/燃气/德龙汇能.csv
000596,古井贡酒,白酒Ⅱ,酿酒行业,/home/peanut/stock_key_info/all_stocks_20260606/旧基建/酿酒行业/古井贡酒.csv
000597,东北制药,化学制药,化学制药,/home/peanut/stock_key_info/all_stocks_20260606/医药/化学制药/东北制药.csv
000598,兴蓉环境,环境治理,环保行业,/home/peanut/stock_key_info/all_stocks_20260606/衣食住行/环保行业/兴蓉环境.csv
000599,青岛双星,汽车零部件,汽车零部件,/home/peanut/stock_key_info/all_stocks_20260606/工业制造/汽车零部件/青岛双星.csv
000600,建投能源,电力,电力行业,/home/peanut/stock_key_info/all_stocks_20260606/电力行业/建投能源.csv
000601,韶能股份,电力,电力行业,/home/peanut/stock_key_info/all_stocks_20260606/电力行业/韶能股份.csv
000603,盛达资源,贵金属,贵金属,/home/peanut/stock_key_info/all_stocks_20260606/能源/贵金属/盛达资源.csv
000605,渤海股份,环境治理,环保行业,/home/peanut/stock_key_info/all_stocks_20260606/衣食住行/环保行业/渤海股份.csv
000607,华媒控股,广告营销,文化传媒,/home/peanut/stock_key_info/all_stocks_20260606/衣食住行/文化传媒/华媒控股.csv
000608,阳光股份,房地产开发,房地产开发,/home/peanut/stock_key_info/all_stocks_20260606/旧基建/房地产开发/阳光股份.csv
000612,焦作万方,工业金属,有色金属,/home/peanut/stock_key_info/all_stocks_20260606/能源/有色金属/焦作万方.csv
